name,code,professor,school,description,semester,day,time,term
D-Lab: Design for Scale,MIT 2 .789,TBA,NONH,"Focuses on product development of technologies for people in less industrialized markets. Students work in interdisciplinary teams to develop previously established prototypes or technologies towards manufacturing-ready product designs. Topics are presented within the context of the developing world and include technology feasibility and scalability assessment; value chain analysis; product specification; design for affordability, manufacturability, usability, and desirability; and product testi",2020 Fall,,,Full Term
Solid-State Circuits,MIT 6 .301,TBA,NONH,"Fosters deep understanding and intuition that is crucial in innovating analog circuits and optimizing the whole system in bipolar junction transistor (BJT) and metal oxide semiconductor (MOS) technologies. Covers both theory and real-world applications of basic amplifier structures, operational amplifiers, temperature sensors, bandgap references, and translinear circuits. Provides practical experience through various lab exercises, including a broadband amplifier design and characterization. Stu",2020 Fall,,,Full Term
Introduction to Modeling and Simulation,MIT 16 .910,TBA,NONH,"Introduction to computational techniques for modeling and simulation of a variety of large and complex engineering, science, and socio-economical systems. Prepares students for practical use and development of computational engineering in their own research and future work. Topics include mathematical formulations (e.g., automatic assembly of constitutive and conservation principles); linear system solvers (sparse and iterative); nonlinear solvers (Newton and homotopy); ordinary, time-periodic a",2020 Fall,,,Full Term
Major Authors,MIT 21L .705,TBA,NONH,"Close study of a limited group of writers. Instruction and practice in oral and written communication. Previously taught topics include John Milton and his Age, Chaucer, Herman Melville, Toni Morrison, and Oscar Wilde and the '90s. Approved for credit in Women's and Gender Studies when content meets the requirements for subjects in that program. May be repeated for credit with permission of instructor if content differs.",2020 Fall,,,Full Term
Organizational Behavior Lab,HBSDOC 4428,Amabile,HBSD,"Organizational Behavior (OB) Lab is a research workshop for those whose research interests center on micro-OBÂ that is, research interests based in micro-sociology, psychology or framed in psychological terms and relevant to organizational behavior.Â The research may include any and all methodologies.Â OB Lab is devoted to helping its members develop early-stage research projects.Â We aim for a constructive, collaborative atmosphere in which we can share ideas for projects, m",2021 Spring,,,Full Term
Histories and Theories of Urban Interventions,HIS 4115,Blau,GSD,"This course uses historical and analytical readings and case studies to address several major theoretical questions concerning the aims and outcomes of urban interventions. The overall theme is the relationship at a given historical moment between conscious public policy and the spatial, economic, social, and political framework in which it operates and which it affects. To what extent are planning, design, and policy simply the resultant of social forces and to what degree do they shape those f",2021 Spring,,,Full Term
Seminar in Experimental Colloid and Surface Chemistry,MIT 10 .982,TBA,NONH,"In-depth discussion of fundamental physical relationships underlying techniques commonly used in the study of colloids and surfaces with a focus on recent advances and experimental applications. Topics have included the application of steady-state and time-resolved fluorescence spectroscopies, infrared spectroscopy, and scanning probe microscopies.",2020 Fall,,,Full Term
Intermediate Amharic,AMHARIC BB,Mugane,FAS,"A study of Afrikaans a major language spoken in South Africa at the Intermediate level (Second year part 2). Contact hours supplemented by digital resources sessions. Emphasis on written expression, reading comprehension, and oral fluency.Â Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Afrikaans BA in the Spring must note that Afrikaans BB is offered only in the Spring.",2021 Spring,,,Full Term
System Dynamics for Business and Policy,MIT 15 .873 L03,TBA,NONH,"Focuses on developing the skills and tools needed to successfully apply systems thinking and simulation modeling in diverse real-world settings, including growth strategy, management of technology, operations, public policy, product development, supply chains, forecasting, project management, process improvement, service operations, and platform-based businesses, among others. Uses simulation models, management flight simulators, and case studies to deepen conceptual and modeling skills beyond w",2020 Fall,,,Full Term
Workshop on Geographic Information Systems,MIT 11 .520,TBA,NONH,"An introduction to geographic information systems (GIS) as applied to urban and regional planning, community development, and local government. Emphasis on learning GIS technology and spatial analysis techniques through extensive hands-on exercises using real-world data sets such as the US census of population and housing. Includes a small project on an urban planning problem involving the selection of appropriate methods, the use of primary and secondary data, computer-based modeling, and spati",2020 Fall,,,Full Term
Intermediate Igbo,IGBO BB,Mugane,FAS,"A study of Igbo one of the three most widely spoken languages in Nigeria at the Intermediate level (Second year part 2). Contact hours supplemented by digital resources sessions. Emphasis on written expression, reading comprehension, and oral fluency.Â Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Igbo BA in the Spring must note that Igbo BB is offered only in the Spring.",2021 Spring,,,Full Term
